Year,YearEnd,State_Abbr,State,Value_Type,Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1
2011,2011,NY,New York,Value,28.5,28.5,24.5,32.9,842.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,36,INC,INC3550
2011,2011,NY,New York,Value,9.5,9.5,6.5,13.6,423.0,,18 - 24,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR1824
2011,2011,NY,New York,Value,25.9,25.9,22.7,29.4,1027.0,,35 - 44,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR3544
2011,2011,NY,New York,Value,26.9,26.9,24.3,29.6,1764.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,36,EDU,EDUHSGRAD
2011,2011,NY,New York,Value,18.2,18.2,16.6,20.0,3070.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,36,EDU,EDUCOGRAD
2011,2011,NY,New York,Value,27.3,27.3,23.3,31.6,797.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,36,INC,INCLESS15
2011,2011,NY,New York,Value,36.1,36.1,24.9,49.0,84.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,36,RACE,RACE2PLUS
2011,2011,NY,New York,Value,23.6,23.6,22.1,25.3,4849.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,36,RACE,RACEWHT
2011,2011,NY,New York,Value,23.7,23.7,22.1,25.5,4197.0,,,,Female,,,OWS,OWS1,Q036,VALUE,36,SEX,FEMALE
2011,2011,NY,New York,Value,26.8,26.8,23.1,30.8,926.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,36,INC,INC5075
2011,2011,NY,New York,Value,29.8,29.8,26.8,33.0,1336.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR4554
2011,2011,NY,New York,Value,27.5,27.5,23.5,31.9,627.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,36,EDU,EDUHS
2011,2011,NY,New York,Value,24.5,24.5,23.2,25.9,7222.0,Total,,,,,,OWS,OWS1,Q036,VALUE,36,OVR,OVERALL
2011,2011,NY,New York,Value,26.5,26.5,23.2,30.1,1114.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,36,INC,INC1525
2011,2011,NY,New York,Value,26.0,26.0,21.9,30.6,647.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,36,INC,INC2535
2012,2012,AL,Alabama,Value,39.7,39.7,36.5,43.1,1433.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,1,AGEYR,AGEYR4554
2011,2011,NY,New York,Value,20.1,20.1,18.0,22.5,1940.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,36,INC,INC75PLUS
2011,2011,NY,New York,Value,30.5,30.5,27.6,33.5,1449.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR5564
2011,2011,NY,New York,Value,9.9,9.9,6.2,15.4,245.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,36,RACE,RACEASN
2011,2011,NY,New York,Value,27.1,27.1,24.4,29.9,1730.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,36,EDU,EDUCOTEC
2011,2011,NY,New York,Value,25.3,25.3,23.3,27.4,3025.0,,,,Male,,,OWS,OWS1,Q036,VALUE,36,SEX,MALE
2011,2011,NY,New York,Value,22.1,22.1,18.5,26.1,956.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,36,INC,INCNR
2011,2011,NY,New York,Value,32.5,32.5,28.6,36.6,902.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,36,RACE,RACEBLK
2011,2011,OH,Ohio,Value,28.2,28.2,24.5,32.3,773.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,39,AGEYR,AGEYR2534
2011,2011,OH,Ohio,Value,34.4,34.4,31.9,36.9,2328.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,39,AGEYR,AGEYR5564
2011,2011,OH,Ohio,Value,32.6,32.6,29.3,36.1,1241.0,,35 - 44,,,,,OWS,OWS1,Q036,VALUE,39,AGEYR,AGEYR3544
2011,2011,OH,Ohio,Value,32.1,32.1,29.9,34.3,3326.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,39,EDU,EDUHSGRAD
2011,2011,OH,Ohio,Value,31.6,31.6,29.6,33.8,3671.0,,,,Male,,,OWS,OWS1,Q036,VALUE,39,SEX,MALE
2011,2011,OH,Ohio,Value,28.3,28.3,16.8,43.5,111.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,39,RACE,RACE2PLUS
2011,2011,OH,Ohio,Value,30.5,30.5,28.0,33.1,2422.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,39,EDU,EDUCOTEC
2011,2011,OH,Ohio,Value,28.7,28.7,26.5,31.0,2929.0,,65 or older,,,,,OWS,OWS1,Q036,VALUE,39,AGEYR,AGEYR65PLUS
2011,2011,OH,Ohio,Value,48.2,48.2,29.7,67.2,52.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,39,RACE,RACENAA
2011,2011,OH,Ohio,Value,33.9,33.9,30.9,37.0,1732.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,39,AGEYR,AGEYR4554
2011,2011,OH,Ohio,Value,32.8,32.8,28.4,37.5,953.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,39,INC,INCLESS15
2011,2011,OH,Ohio,Value,31.4,31.4,28.2,34.8,1632.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,39,INC,INC1525
2011,2011,OH,Ohio,Value,24.0,24.0,21.5,26.7,1936.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,39,INC,INC75PLUS
2011,2011,OH,Ohio,Value,27.6,27.6,26.0,29.4,5668.0,,,,Female,,,OWS,OWS1,Q036,VALUE,39,SEX,FEMALE
2011,2011,OH,Ohio,Value,32.1,32.1,21.9,44.2,143.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,39,RACE,RACEHIS
